signal_key_id,geo_key_id,time_type,time_value,issue,value,stderr,sample_size,lag,value_updated_timestamp,computation_as_of_dt,missing_value,missing_stderr,missing_sample_size
65,3129,day,20200818,20201030,365.5005458774386,,,73,1604113406,,0,5,5
154,1100,day,20210127,20210403,3.614892,,,66,1617490910,,0,5,5
73,2060,day,20200706,20200717,0.0,,,11,1594999605,,0,5,5
65,4172,day,20200427,20200721,69.00696747768404,,,85,1595344383,,0,5,5
69,4146,day,20200628,20200708,0.8571428571428571,,,10,1594133758,,0,5,5
72,4499,day,20200707,20200729,136.66600803530267,,,22,1596036697,,0,5,5
74,3155,day,20200731,20200801,0.0,,,1,1620241720,,0,5,5
48,3218,day,20200510,20200810,0.0,,,92,1597072776,,0,5,5
49,1981,day,20200708,20200731,17.0,,,23,1596209491,,0,5,5
228,2729,day,20200219,20210129,0.518408,,,345,1611977502,,0,5,5
74,1593,day,20200618,20200708,0.2681716459437027,,,20,1594135850,,0,5,5
68,847,day,20200618,20200704,290.65342046357955,,,16,1593788839,,0,5,5
65,45,day,20200623,20200717,324.09180636987713,,,24,1594999143,,0,5,5
49,756,day,20200709,20200810,6.0,,,32,1597073764,,0,5,5
50,967,day,20200618,20200721,0.0,,,33,1595345810,,0,5,5
227,747,day,20200908,20201229,7.254895,,,112,1609306322,,0,5,5
44,3199,day,20200821,20200826,0.0,,,5,1598469801,,0,5,5
69,3148,day,20200407,20200703,0.0,,,87,1593701662,,0,5,5
50,355,day,20200605,20200709,0.0,,,34,1594221736,,0,5,5
1,2821,day,20210307,20210513,11.398627,,,67,1620957316,,0,5,5
69,4463,day,20210406,20210407,0.1428571,,,1,1617807074,,0,5,5
30,723,day,20200917,20201031,7.3521302797486,,,44,1604204765,,0,5,5
39,2875,day,20200529,20201102,0.0,,,157,1604378003,,0,5,5
74,952,day,20200731,20200801,1.3643123183759227,,,1,1620241720,,0,5,5
172,2131,day,20210125,20210323,0.526727,,,57,1616554688,,0,5,5
